model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,53,448,134,314,0.29910714285714285,0.5,0.40403796243282675,0.2415689340589083,0.1786809282210299,False,,0.18294377872033654,-0.32045449016438643
constant_prior,train_only,54,438,129,309,0.2945205479452055,0.5,0.39802709608212933,0.24136517981855396,0.18326752313296724,False,,0.18204292713340556,-0.3258695826269349
constant_prior,train_only,55,438,128,310,0.2922374429223744,0.5,0.3918196451151853,0.24126375548557763,0.18555062815579831,False,,0.18170408741118432,-0.3277838650905729
constant_prior,train_only,56,434,124,310,0.2857142857142857,0.5,0.3744285786553462,0.24097397167707368,0.19207378536388708,False,,0.18129512076854765,-0.3291806787492957
constant_prior,train_only,57,432,122,310,0.2824074074074074,0.5,0.3653383774100332,0.24082706738526258,0.19538066367076534,False,,0.18096936990339085,-0.3307614847409057
constant_prior,train_only,58,422,120,302,0.2843601895734597,0.5,0.3665174196712177,0.24091381750260696,0.19342788150471302,False,,0.18197087121015995,-0.3239141841793636
constant_prior,train_only,59,418,116,302,0.27751196172248804,0.5,0.35135401995938,0.24060959280207445,0.20027610935568474,False,,0.17998996456881292,-0.3367944895065842
constant_prior,train_only,60,416,114,302,0.27403846153846156,0.5,0.3443795702808768,0.2404552865236793,0.20374960953971116,False,,0.17966380887447,-0.3383624004747887
constant_prior,train_only,61,412,112,300,0.27184466019417475,0.5,0.3410326947448361,0.24035782940462352,0.20594341088399798,False,,0.17966152881860323,-0.3378369369621852
constant_prior,train_only,62,410,111,299,0.2707317073170732,0.5,0.3397239003605622,0.24030838774422444,0.2070563637610996,False,,0.17966355432289627,-0.3375466640960225
constant_prior,train_only,63,402,105,297,0.26119402985074625,0.5,0.3267938825625746,0.23988468731630172,0.21659404122742654,False,,0.17725115273902337,-0.3533603793792932
constant_prior,train_only,64,396,103,293,0.2601010101010101,0.5,0.32482297021641565,0.23983613116231914,0.21768706097716262,False,,0.17617840018535197,-0.3613254003328148
constant_prior,train_only,65,394,100,294,0.25380710659898476,0.5,0.3268965082543406,0.2395565316878635,0.22398096447918797,False,,0.17076887607736727,-0.40281143256650487
constant_prior,train_only,66,390,97,293,0.24871794871794872,0.5,0.317875727852282,0.23933045166161243,0.22907012236022395,False,,0.16997613984005217,-0.4080238078522245
constant_prior,train_only,67,386,93,293,0.24093264248704663,0.5,0.3144408262680307,0.2389845983243415,0.23685542859112613,False,,0.16559532654077044,-0.4431844383331809
constant_prior,train_only,68,382,91,291,0.23821989528795812,0.5,0.314901616750119,0.23886408762840347,0.23956817579021455,False,,0.16386077193427417,-0.45772587794358555
constant_prior,train_only,69,382,89,293,0.23298429319371727,0.5,0.3118459333315707,0.23863150198524294,0.2448037778844554,False,,0.16105299638841253,-0.48169551226314256
constant_prior,train_only,70,376,87,289,0.23138297872340424,0.5,0.3091746473171994,0.23856036541885073,0.24640509235476848,False,,0.16114990400984466,-0.48036306248297267
constant_prior,train_only,71,376,84,292,0.22340425531914893,0.5,0.30865215399142915,0.2382059197445663,0.2543838157590238,False,,0.15451909842178335,-0.541595324963307
constant_prior,train_only,72,374,82,292,0.2192513368983957,0.5,0.30949398233464476,0.2380214310870065,0.25853673417977696,False,,0.15050962393162967,-0.5814366209241864
constant_prior,train_only,73,372,80,292,0.21505376344086022,0.5,0.3082940623926821,0.23783495868044063,0.2627343076373124,False,,0.14791043755591995,-0.6079660273503231
constant_prior,train_only,74,368,77,291,0.20923913043478262,0.5,0.3050462919685769,0.23757665025036556,0.2685489406433901,False,,0.1433226390279652,-0.6576351919113734
